Content-Container&body,suitcase
Instrument-Agency&president,None
Cause-Effect&earthquakes,None
Other&joy,happiness
Instrument-Agency&man,None
Message-Topic&book,controversy
Component-Whole&house,None
Product-Producer&powerboat,manufacturer
Cause-Effect&inhibitors,mortality
Instrument-Agency&scientist,method
Cause-Effect&shockwaves,metal-forming
Instrument-Agency&software,comment
Content-Container&underwear,None
Product-Producer&prisoners,trapdoors
Component-Whole&skateboards,None
Instrument-Agency&behaviour,None
Cause-Effect&accidents,None
Product-Producer&programmer,None
Cause-Effect&incidents,None
Message-Topic&preface,edition
Other&generations,immigrants
Other&temperature,car
Other&None,None
Instrument-Agency&Digital,language
Content-Container&bag,books
Other&necessity,None
Other&None,None
Other&None,None
Member-Collection&playoffs,team
Message-Topic&Anthony,inspiration
Instrument-Agency&author,None
Cause-Effect&depression,weeks
Other&analysis,None
Entity-Origin&grapes,wine
Cause-Effect&population,None
Entity-Origin&tree,beans
Instrument-Agency&None,None
Other&retailerer,value
Cause-Effect&disease,therapy
Cause-Effect&joy,flavours
Cause-Effect&cancer,therapy
Content-Container&gas,None
Message-Topic&remarks,None
Cause-Effect&tendency,anxiety
Product-Producer&prawns,maker
Product-Producer&site,None
Cause-Effect&neutrons,None
Cause-Effect&reduction,treatment
Component-Whole&rings,None
Component-Whole&house,None
Entity-Origin&name,None
Product-Producer&maker,violins
Other&traditions,None
Other&students,areas
Product-Producer&company,negatives
Other&measurement,None
Instrument-Agency&hairdresser,None
Instrument-Agency&None,None
Other&data,None
Message-Topic&check,alliance
Instrument-Agency&patient,toe
Component-Whole&None,None
Cause-Effect&frustration,meeting
Entity-Origin&gin,None
Content-Container&bag,flyers
Other&environment,None
Cause-Effect&None,None
Component-Whole&mechanism,None
Component-Whole&mouth,None
Component-Whole&site,crane
Other&terse,voice
Product-Producer&cook,None
Content-Container&plastic,None
Message-Topic&microarrays,None
Entity-Origin&liquor,wine
Product-Producer&saw,plant
Component-Whole&None,None
Component-Whole&None,None
Product-Producer&scientists,None
Content-Container&vodka,None
Component-Whole&room,None
Other&seeds,None
Cause-Effect&Short-term,headache
Cause-Effect&reaction,None
Cause-Effect&Thatch,excessive
Entity-Origin&spirit,None
Cause-Effect&injection,chair
Instrument-Agency&officer,floor
Product-Producer&manufacturer,None
Cause-Effect&Bottle,wine
Content-Container&boxes,books
Content-Container&box,None
Instrument-Agency&organization,None
Cause-Effect&silver,clock
Component-Whole&room,door
Other&None,None
Content-Container&bacon,None
Component-Whole&trench,None
Component-Whole&None,None
Other&hell,sky
Entity-Origin&oil,oil
Product-Producer&sculptures,chainsaw
Other&mentoring,None
Other&species,fishes
Cause-Effect&bombing,carnage
Entity-Destination&None,None
Cause-Effect&None,None
Cause-Effect&vaccine,virus
Cause-Effect&supercell,None
Instrument-Agency&Factory,objects
Component-Whole&device,fabric
Product-Producer&press,None
Cause-Effect&emission,None
Entity-Origin&tongue,None
Other&None,None
Component-Whole&dryer,None
Other&design,building
Component-Whole&work,teeth
Other&None,None
Cause-Effect&None,None
Other&senator,budgets
Message-Topic&draft,None
Cause-Effect&vaccine,government
Other&land,None
Other&Seventy-first,cavalry
Entity-Origin&bag,cup
Cause-Effect&None,None
Instrument-Agency&technique,pair
Entity-Destination&nurse,lemon
Cause-Effect&frustration,None
Other&range,resources
Other&None,None
Other&experiences,None
Component-Whole&box,None
Cause-Effect&outdoors,earthquake
Message-Topic&department,None
Component-Whole&rooms,room
Entity-Destination&None,None
Product-Producer&router,manufacturer
Entity-Origin&cane,sugar
Instrument-Agency&officer,None
Cause-Effect&carbohydrase,process
Cause-Effect&threat,None
Content-Container&contents,None
Other&InterSense,precision
Component-Whole&event,demonstration
Instrument-Agency&None,None
Entity-Origin&ants,None
Other&None,None
Component-Whole&None,None
Cause-Effect&None,None
Component-Whole&office,plants
Cause-Effect&inflammation,system
Entity-Origin&pollen,forest
Message-Topic&novel,None
Entity-Origin&fish,None
Cause-Effect&sensation,stomach
Cause-Effect&maker,disaster
Instrument-Agency&developer,None
Member-Collection&communities,None
Entity-Origin&liquor,fruit
Message-Topic&section,reach
Component-Whole&fuser,None
Content-Container&paper,file
Message-Topic&message,None
Entity-Origin&None,None
Instrument-Agency&person,None
Component-Whole&cloud,photon
Other&bytecodes,structure
Cause-Effect&None,None
Cause-Effect&None,None
Message-Topic&strategies,None
Other&environment,None
Entity-Origin&onions,None
Other&building,mass
Cause-Effect&plan,behaviour
Content-Container&bowl,apples
Other&site,None
Product-Producer&lady,keys
Cause-Effect&illness,None
Entity-Destination&coins,jar
Entity-Origin&demonstrators,prison
Other&studies,None
Other&book,date
Other&experiment,creation
Cause-Effect&catastrophe,None
Cause-Effect&None,None
Other&experiment,acid
Message-Topic&movie,None
Cause-Effect&Saunders,panic
Other&aristocracy,laws
Product-Producer&None,None
Component-Whole&engine,money
Product-Producer&company,chicory
Entity-Destination&cream,strips
Entity-Origin&gold,None
Other&fish,opponents
Component-Whole&drill,None
Other&samples,microscope
Content-Container&contents,suitcase
Component-Whole&house,bedrooms
Other&horse,None
Content-Container&milk,None
Cause-Effect&downturn,bombs
Message-Topic&criticism,literature
Content-Container&contents,tools
Content-Container&ringtone,None
Component-Whole&crane,None
Entity-Origin&spiciness,ribs
Cause-Effect&injuries,panic
Component-Whole&None,None
Instrument-Agency&climber,None
Component-Whole&train,None
Content-Container&bomb,suitcase
Instrument-Agency&None,None
Other&implementor,protocol
Instrument-Agency&None,None
Product-Producer&commander,logs
Cause-Effect&attack,clot
Component-Whole&diener,scalpel
Instrument-Agency&camera,None
Message-Topic&report,outbreaks
Cause-Effect&region,tremors
Instrument-Agency&None,None
Message-Topic&statement,None
Message-Topic&session,issues
Cause-Effect&company,medication
Instrument-Agency&customer,None
Content-Container&recipe,apples
Cause-Effect&component,None
Component-Whole&contents,plug
Product-Producer&artist,song
Other&circumstance,None
Component-Whole&video,movie
Instrument-Agency&None,None
Component-Whole&garden,None
Component-Whole&knife,None
Cause-Effect&shoulder,None
Entity-Destination&None,None
Entity-Destination&electrons,None
Cause-Effect&radiation,None
Entity-Destination&wine,None
Component-Whole&portion,None
Other&Infection,execution
Instrument-Agency&carpenter,axe
Other&construction,None
Product-Producer&architect,division
Other&solution,safe
Component-Whole&canister,wheels
Entity-Origin&goats,goats
Other&savings,None
Message-Topic&panel,None
Content-Container&utensil,None
Content-Container&kitchen,items
Other&None,None
Entity-Destination&keys,car
Message-Topic&collaboration,focuses
Cause-Effect&None,None
Entity-Destination&input,box
Component-Whole&blade,handle
Other&beach,cave
Other&observation,None
Member-Collection&volunteer,organization
Message-Topic&relationship,None
Entity-Origin&None,None
Product-Producer&salad,apples
Cause-Effect&attack,collapse
Message-Topic&commission,party
Cause-Effect&reduction,list
Message-Topic&memorandum,None
Cause-Effect&None,None
Cause-Effect&collapse,point
Cause-Effect&None,None
Product-Producer&None,None
Cause-Effect&chemotherapy,treatment
Cause-Effect&concerns,None
Message-Topic&collection,None
Other&incense,aquilaria
Product-Producer&maker,artist
Message-Topic&excerpt,book
Other&ring,worth
Component-Whole&None,None
Instrument-Agency&therapist,None
Cause-Effect&loss,None
Other&request,company
Product-Producer&handset,maker
Other&None,None
Cause-Effect&electricity,reactors
Product-Producer&return,artist
Component-Whole&design,patterns
Other&mediator,parties
Other&attractions,zone
Content-Container&heater,car
Instrument-Agency&defendant,None
Product-Producer&maker,maker
Instrument-Agency&driver,car
Other&defendant,witness
Component-Whole&test,windows
Cause-Effect&personnel,evacuation
Other&environment,facility
Product-Producer&materials,material
Component-Whole&None,None
Component-Whole&microwave,oven
Entity-Origin&land,None
Other&satisfaction,statement
Cause-Effect&fire,None
Content-Container&jelly,doughnut
Message-Topic&film,segments
Instrument-Agency&voltage,None
Cause-Effect&signal,noise
Instrument-Agency&defender,None
Member-Collection&population,None
Cause-Effect&body,None
Instrument-Agency&astronauts,boom
Component-Whole&cave,None
Other&activity,None
Other&Tapestries,wall
Instrument-Agency&None,None
Message-Topic&None,None
Member-Collection&seasons,farmers
Cause-Effect&findings,None
Entity-Origin&None,None
Content-Container&mustard,None
Product-Producer&judge,None
Entity-Origin&tea,None
Content-Container&catalogue,books
Product-Producer&violin,maker
Component-Whole&kitchen,sink
Other&representatives,malcontents
Instrument-Agency&computer,None
Message-Topic&document,prevention
Cause-Effect&Short-term,None
Other&areas,None
Product-Producer&Equipment,box
Other&None,None
Instrument-Agency&None,None
Product-Producer&None,None
Component-Whole&material,None
Content-Container&None,None
Content-Container&worms,box
Cause-Effect&tone,None
Product-Producer&maker,None
Other&processing,None
Cause-Effect&None,None
Component-Whole&reshape,teeth
Entity-Origin&body,body
Component-Whole&cup,machine
Message-Topic&stem,techniques
Cause-Effect&None,None
Component-Whole&stick,None
Cause-Effect&None,None
Product-Producer&film,maker
Product-Producer&hostess,None
Cause-Effect&revolution,None
Content-Container&kidneys,None
Other&production,None
Entity-Destination&wings,plane
Instrument-Agency&people,None
Entity-Origin&strawberries,sugar
Cause-Effect&beverages,None
Content-Container&fruit,apples
Component-Whole&cloud,electrons
Product-Producer&mechanism,None
Product-Producer&maker,inspiration
Instrument-Agency&None,None
Other&opening,None
Component-Whole&system,None
Cause-Effect&depression,None
Component-Whole&stand,None
Product-Producer&coffin,maker
Cause-Effect&joy,writing
Instrument-Agency&robber,door
Cause-Effect&None,None
Instrument-Agency&information,None
Entity-Origin&name,None
Other&duties,body
Cause-Effect&None,None
Component-Whole&assemblies,strips
Entity-Destination&paste,region
Product-Producer&plant,None
Content-Container&purse,cell
Message-Topic&book,None
Cause-Effect&None,None
Entity-Origin&ingredients,None
Instrument-Agency&headmaster,None
Content-Container&kitchen,fish
Instrument-Agency&None,None
Message-Topic&bedtime,None
Component-Whole&kitchen,None
Other&building,None
Component-Whole&axe,None
Cause-Effect&juice,drugs
Other&majority,properties
Entity-Origin&colours,stylesheet
Other&arm,mouth
Component-Whole&crane,None
Message-Topic&plans,None
Product-Producer&None,None
Content-Container&flask,ale
Component-Whole&train,errands
Entity-Destination&None,None
Other&None,None
Member-Collection&mesopause,None
Instrument-Agency&machines,features
Content-Container&properties,None
Instrument-Agency&man,None
Cause-Effect&Earplugs,discomfort
Cause-Effect&behaviour,frustration
Member-Collection&sisters,refugees
Entity-Origin&fuel,canola
Product-Producer&None,None
Component-Whole&fibres,capsule
Cause-Effect&explosion,None
Instrument-Agency&developer,None
Component-Whole&birds,syllables
Component-Whole&molt,nest
Member-Collection&student,committee
Component-Whole&castle,None
Cause-Effect&Muscles,ankle
Other&carpeting,pop
Instrument-Agency&cashier,cash
Component-Whole&shirt,None
Message-Topic&document,None
Other&None,None
Instrument-Agency&developer,job
Message-Topic&section,None
Content-Container&sound,suitcase
Other&Givers,None
Cause-Effect&crop,None
Other&boy,threat
Component-Whole&feature,acoustics
Other&approach,None
Product-Producer&None,None
Cause-Effect&None,None
Other&window,light
Entity-Destination&sub-catchment,sucklers
Product-Producer&None,None
Cause-Effect&joy,places
Component-Whole&cave,None
Cause-Effect&Apartment,None
Cause-Effect&rap,None
Cause-Effect&country,None
Content-Container&bottle,None
Component-Whole&None,None
Entity-Origin&wine,None
Content-Container&kitchen,None
Other&development,None
Instrument-Agency&None,None
Component-Whole&emits,None
Content-Container&bottle,None
Content-Container&box,promises
Instrument-Agency&students,None
Entity-Origin&None,None
Product-Producer&bus,None
Cause-Effect&deliberations,None
Other&casement,window
Component-Whole&None,None
Product-Producer&wine,grapevines
Product-Producer&maker,None
Cause-Effect&defamation,None
Product-Producer&advice,builders
Entity-Destination&air,jar
Cause-Effect&None,None
Product-Producer&legislature,parents
Cause-Effect&sun,radiation
Component-Whole&meal,None
Instrument-Agency&pigs,diets
Product-Producer&student,request
Cause-Effect&germs,None
Cause-Effect&notes,None
Product-Producer&maker,None
Entity-Origin&None,None
Other&None,None
Cause-Effect&explosion,scene
Content-Container&carpet,None
Instrument-Agency&company,word
Component-Whole&hook,None
Message-Topic&discussion,keeps
Cause-Effect&exposure,None
Cause-Effect&None,None
Product-Producer&company,mug
Cause-Effect&transmitter,signal
Cause-Effect&Parents,anxiety
Entity-Origin&mud-puddle,None
Other&countries,None
Component-Whole&None,None
Product-Producer&citizens,states
Instrument-Agency&lasers,inversion
Component-Whole&streaks,truck
Component-Whole&engine,None
Entity-Destination&notice,None
Product-Producer&herbicide,None
Content-Container&jar,candle
Instrument-Agency&farmers,None
Instrument-Agency&surgeon,None
